id,experiment,condition,n_check,n_hit,infer,scan,check_rate,hit_rate,human_hit,content
exp2_20to4_3,2,4_counter,20,2,2,1,1.0,0.1,0.1,2 out of 20
exp2_20to4_4,2,4_counter,20,2,10,1,1.0,0.1,0.5,2 out of 20
exp2_20to4_5,2,4_counter,20,2,2,0,1.0,0.1,0.1,2 out of 20
exp2_20to4_6,2,4_counter,20,2,2,0,1.0,0.1,0.1,2 out of 20
exp2_20to4_7,2,4_counter,20,2,1,0,1.0,0.1,0.05,2 out of 20
exp2_20to4_8,2,4_counter,20,2,12,1,1.0,0.1,0.6,2 out of 20
exp2_20to4_9,2,4_counter,20,2,4,0,1.0,0.1,0.2,2 out of 20
exp2_20to4_10,2,4_counter,20,2,20,1,1.0,0.1,1.0,2 out of 20
exp2_20to4_11,2,4_counter,20,2,2,0,1.0,0.1,0.1,2 out of 20
exp2_20to4_12,2,4_counter,20,2,10,1,1.0,0.1,0.5,2 out of 20
exp2_20to4_13,2,4_counter,20,2,2,0,1.0,0.1,0.1,2 out of 20
exp2_20to4_14,2,4_counter,20,2,20,1,1.0,0.1,1.0,2 out of 20
exp2_20to4_15,2,4_counter,20,2,2,1,1.0,0.1,0.1,2 out of 20
exp2_20to4_16,2,4_counter,20,2,5,0,1.0,0.1,0.25,2 out of 20
exp2_20to4_17,2,4_counter,20,2,3,0,1.0,0.1,0.15,2 out of 20
exp2_20to4_18,2,4_counter,20,2,2,0,1.0,0.1,0.1,2 out of 20
exp2_20to4_19,2,4_counter,20,2,3,0,1.0,0.1,0.15,2 out of 20
exp2_20to4_20,2,4_counter,20,2,3,0,1.0,0.1,0.15,2 out of 20
exp2_20to4_21,2,4_counter,20,2,1,0,1.0,0.1,0.05,2 out of 20
exp2_20to4_22,2,4_counter,20,2,12,1,1.0,0.1,0.6,2 out of 20
exp2_20to4_24,2,4_counter,20,2,2,1,1.0,0.1,0.1,2 out of 20
exp2_20to4_26,2,4_counter,20,2,15,1,1.0,0.1,0.75,2 out of 20
exp2_20to4_28,2,4_counter,20,2,10,1,1.0,0.1,0.5,2 out of 20
exp2_20to4_30,2,4_counter,20,2,12,1,1.0,0.1,0.6,2 out of 20
exp2_20to4_33,2,4_counter,20,2,6,1,1.0,0.1,0.3,2 out of 20
exp2_20to4_35,2,4_counter,20,2,3,0,1.0,0.1,0.15,2 out of 20
exp2_20to4_36,2,4_counter,20,2,2,0,1.0,0.1,0.1,2 out of 20
exp2_20to4_38,2,4_counter,20,2,10,1,1.0,0.1,0.5,2 out of 20
exp2_20to4_39,2,4_counter,20,2,2,0,1.0,0.1,0.1,2 out of 20
exp2_20to4_40,2,4_counter,20,2,3,0,1.0,0.1,0.15,2 out of 20
exp2_20to4_41,2,4_counter,20,2,2,0,1.0,0.1,0.1,2 out of 20
exp2_20to4_42,2,4_counter,20,2,2,0,1.0,0.1,0.1,2 out of 20
exp2_20to4_43,2,4_counter,20,2,2,0,1.0,0.1,0.1,2 out of 20
exp2_20to4_44,2,4_counter,20,2,2,0,1.0,0.1,0.1,2 out of 20
exp2_20to4_45,2,4_counter,20,2,2,0,1.0,0.1,0.1,2 out of 20
exp2_20to4_47,2,4_counter,20,2,18,1,1.0,0.1,0.9,2 out of 20
exp2_20to4_48,2,4_counter,20,2,2,0,1.0,0.1,0.1,2 out of 20
exp2_20to4_49,2,4_counter,20,2,2,0,1.0,0.1,0.1,2 out of 20
exp2_20to4_50,2,4_counter,20,2,0,0,1.0,0.1,0.0,2 out of 20
exp2_20to4_51,2,4_counter,20,2,5,1,1.0,0.1,0.25,2 out of 20
exp2_20to4_52,2,4_counter,20,2,3,0,1.0,0.1,0.15,2 out of 20
exp2_20to4_53,2,4_counter,20,2,2,0,1.0,0.1,0.1,2 out of 20
exp2_20to4_54,2,4_counter,20,2,8,1,1.0,0.1,0.4,2 out of 20
exp2_20to4_55,2,4_counter,20,2,4,0,1.0,0.1,0.2,2 out of 20
exp2_20to4_56,2,4_counter,20,2,5,1,1.0,0.1,0.25,2 out of 20
exp2_20to4_57,2,4_counter,20,2,4,0,1.0,0.1,0.2,2 out of 20
exp2_20to4_58,2,4_counter,20,2,18,1,1.0,0.1,0.9,2 out of 20
exp2_20to4_59,2,4_counter,20,2,6,1,1.0,0.1,0.3,2 out of 20
exp2_20to4_60,2,4_counter,20,2,1,0,1.0,0.1,0.05,2 out of 20
exp2_20to4_61,2,4_counter,20,2,2,0,1.0,0.1,0.1,2 out of 20
exp2_20to4_62,2,4_counter,20,2,7,1,1.0,0.1,0.35,2 out of 20
