condition,trial,rank,n_check,n_hit,CRO,HRO,CHR,block,outcome,group
4to20,inconsistent11,17,19,3,0.9013581,0.15789474,0.52222774,4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]",P
4to20,inconsistent08,20,20,6,0.99999968,0.29999954,0.5959678,1,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1]",Q
4to20,inconsistent16,16,20,5,0.99999968,0.25000031,0.57638689,4,"[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1]",R
4to20,inconsistent04,8,4,4,0.12413923,0.99999846,0.25667356,4,"[1, 1, 1, 1]",S
4to20,inconsistent07,19,18,1,0.76726091,0.05555556,0.46671329,2,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",T
4to20,consistent02,220,5,1,0.17576975,0.2000001,0.18133014,4,"[0, 0, 0, 1, 0]",U
4to20,inconsistent06,2,1,1,1.87E-05,0.99999385,0.08089238,3,[1],V
4to20,inconsistent18,12,20,4,0.99999968,0.2000001,0.55721778,3,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0]",W
4to20,inconsistent20,14,6,6,0.22086906,0.99999846,0.34427912,1,"[1, 1, 1, 1, 1, 1]",X
8to16,inconsistent03,7,20,2,0.99999968,0.1,0.51961742,3,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",A
8to16,inconsistent01,5,3,3,0.06163004,0.99999692,0.20679871,1,"[1, 1, 1]",B
8to16,consistent03,219,14,7,0.52497059,0.5,0.51738118,1,"[0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 1]",C
8to16,inconsistent02,6,19,0,0.9013581,3.84E-07,0.4647894,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",D
8to16,inconsistent14,10,19,1,0.9013581,0.05263158,0.48407924,2,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",E
8to16,consistent06,222,13,6,0.48400975,0.46153846,0.47787627,2,"[0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1]",F
8to16,inconsistent05,1,20,0,0.99999968,3.84E-07,0.48208489,4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",G
8to16,consistent01,217,12,5,0.44568944,0.41666667,0.43842873,2,"[1, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0]",H
8to16,consistent07,223,17,12,0.68415322,0.70588264,0.69542161,1,"[1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 1]",I
8to16,inconsistent09,3,2,2,0.00016447,0.99999692,0.14950368,2,"[1, 1]",J
8to16,inconsistent12,18,7,7,0.26183415,0.99999923,0.38520533,3,"[1, 1, 1, 1, 1, 1, 1]",K
8to16,inconsistent13,9,20,3,0.99999968,0.15000001,0.53833742,1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0]",L
8to16,inconsistent15,15,18,0,0.76726091,3.84E-07,0.4469246,3,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",M
8to16,inconsistent10,4,20,1,0.99999968,0.05,0.50091325,1,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",N
8to16,consistent05,221,7,2,0.26183415,0.28571419,0.26677075,3,"[1, 1, 0, 0, 0, 0, 0]",O
8to16,inconsistent11,17,19,3,0.9013581,0.15789474,0.52222774,4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]",P
8to16,inconsistent08,20,20,6,0.99999968,0.29999954,0.5959678,1,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1]",Q
8to16,inconsistent16,16,20,5,0.99999968,0.25000031,0.57638689,4,"[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1]",R
8to16,inconsistent04,8,4,4,0.12413923,0.99999846,0.25667356,4,"[1, 1, 1, 1]",S
8to16,inconsistent07,19,18,1,0.76726091,0.05555556,0.46671329,2,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",T
8to16,consistent04,220,5,1,0.17576975,0.2000001,0.18133014,4,"[0, 0, 0, 1, 0]",U
8to16,inconsistent06,2,1,1,1.87E-05,0.99999385,0.08089238,3,[1],V
8to16,consistent02,218,10,4,0.37292977,0.4,0.37886694,4,"[0, 1, 1, 1, 0, 0, 1, 0, 0, 0]",W
8to16,consistent08,224,18,14,0.76726091,0.77777777,0.77419863,3,"[1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1]",X
